Symbol,Security,Sector,Date added
GPC,Genuine Parts Company,Consumer Discretionary,1973-12-31
GILD,Gilead Sciences,Health Care,2004-07-01
GL,Globe Life,Financials,1989-04-30
GS,Goldman Sachs,Financials,2002-07-22
HAL,Halliburton,Energy,1957-03-04
HIG,Hartford (The),Financials,1957-03-04
HAS,Hasbro,Consumer Discretionary,1984-09-30
DOC,Healthpeak Properties,Real Estate,2008-03-31
HSY,Hershey Company (The),Consumer Staples,1957-03-04
HES,Hess Corporation,Energy,1984-05-31
HD,Home Depot (The),Consumer Discretionary,1988-03-31
HON,Honeywell,Industrials,1957-03-04
HRL,Hormel Foods,Consumer Staples,2009-03-04
HST,Host Hotels & Resorts,Real Estate,2007-03-20
HPQ,HP Inc.,Information Technology,1974-12-31
HBAN,Huntington Bancshares,Financials,1997-08-28
IBM,IBM,Information Technology,1957-03-04
ITW,Illinois Tool Works,Industrials,1986-02-28
INTC,Intel,Information Technology,1976-12-31
ICE,Intercontinental Exchange,Financials,2007-09-26
IFF,International Flavors & Fragrances,Materials,1976-03-31
IP,International Paper,Materials,1957-03-04
IPG,Interpublic Group of Companies (The),Communication Services,1992-10-01
INTU,Intuit,Information Technology,2000-12-05
ISRG,Intuitive Surgical,Health Care,2008-06-02
IVZ,Invesco,Financials,2008-08-21
IRM,Iron Mountain,Real Estate,2009-01-06
J,Jacobs Solutions,Industrials,2007-10-26
JNJ,Johnson & Johnson,Health Care,1973-06-30
JCI,Johnson Controls,Industrials,2010-08-27
JPM,JPMorgan Chase,Financials,1975-06-30
JNPR,Juniper Networks,Information Technology,2006-06-02
K,Kellanova,Consumer Staples,1989-09-11
KEY,KeyCorp,Financials,1994-03-01
KMB,Kimberly-Clark,Consumer Staples,1957-03-04
KIM,Kimco Realty,Real Estate,2006-04-04
KLAC,KLA Corporation,Information Technology,1997-09-30
KR,Kroger,Consumer Staples,1957-03-04
LHX,L3Harris,Industrials,2008-09-22
LH,LabCorp,Health Care,2004-11-01
LEN,Lennar,Consumer Discretionary,2005-10-04
LLY,Lilly (Eli),Health Care,1970-12-31
LIN,Linde plc,Materials,1992-07-01
LMT,Lockheed Martin,Industrials,1957-03-04
L,Loews Corporation,Financials,1995-05-31
LOW,Lowe's,Consumer Discretionary,1984-02-29
MTB,M&T Bank,Financials,2004-02-23
MRO,Marathon Oil,Energy,1957-03-04
MPC,Marathon Petroleum,Energy,2011-07-01
MAR,Marriott International,Consumer Discretionary,1998-05-29
MMC,Marsh McLennan,Financials,1987-08-31
MAS,Masco,Industrials,1981-06-30
MA,Mastercard,Financials,2008-07-18
MKC,McCormick & Company,Consumer Staples,2003-03-20
MCD,McDonald's,Consumer Discretionary,1970-06-30
MCK,McKesson Corporation,Health Care,1999-01-13
MDT,Medtronic,Health Care,1986-10-31
MRK,Merck & Co.,Health Care,1957-03-04
MET,MetLife,Financials,2000-12-11
MCHP,Microchip Technology,Information Technology,2007-09-07
MU,Micron Technology,Information Technology,1994-09-27
MSFT,Microsoft,Information Technology,1994-06-01
TAP,Molson Coors Beverage Company,Consumer Staples,1976-06-30
MCO,Moody's Corporation,Financials,1998-07-01
MS,Morgan Stanley,Financials,1993-07-29
MOS,Mosaic Company (The),Materials,2011-09-26
MSI,Motorola Solutions,Information Technology,1957-03-04
NDAQ,"Nasdaq, Inc.",Financials,2008-10-22
NTAP,NetApp,Information Technology,1999-06-25
NFLX,Netflix,Communication Services,2010-12-20
NEM,Newmont,Materials,1969-06-30
NEE,NextEra Energy,Utilities,1976-06-30
NKE,"Nike, Inc.",Consumer Discretionary,1988-11-30
NI,NiSource,Utilities,2000-11-02
NSC,Norfolk Southern Railway,Industrials,1957-03-04
NTRS,Northern Trust,Financials,1998-01-30
NOC,Northrop Grumman,Industrials,1957-03-04
NRG,NRG Energy,Utilities,2010-01-29
NUE,Nucor,Materials,1985-04-30
NVDA,Nvidia,Information Technology,2001-11-30
ORLY,O'Reilly Auto Parts,Consumer Discretionary,2009-03-27
OXY,Occidental Petroleum,Energy,1957-03-04
OMC,Omnicom Group,Communication Services,1997-12-31
OKE,ONEOK,Energy,2010-03-15
ORCL,Oracle Corporation,Information Technology,1989-08-31
PCAR,Paccar,Industrials,1980-12-31
PARA,Paramount Global,Communication Services,1994-09-30
PH,Parker Hannifin,Industrials,1985-11-30
PAYX,Paychex,Industrials,1998-10-01
PEP,PepsiCo,Consumer Staples,1957-03-04
PFE,Pfizer,Health Care,1957-03-04
PM,Philip Morris International,Consumer Staples,2008-03-31
PNW,Pinnacle West,Utilities,1999-10-04
PNC,PNC Financial Services,Financials,1988-04-30
PPG,PPG Industries,Materials,1957-03-04
PPL,PPL Corporation,Utilities,2001-10-01
PFG,Principal Financial Group,Financials,2002-07-22
PG,Procter & Gamble,Consumer Staples,1957-03-04
PGR,Progressive Corporation,Financials,1997-08-04
PLD,Prologis,Real Estate,2003-07-17
PRU,Prudential Financial,Financials,2002-07-22
PEG,Public Service Enterprise Group,Utilities,1957-03-04
PSA,Public Storage,Real Estate,2005-08-19
PHM,PulteGroup,Consumer Discretionary,1984-04-30
PWR,Quanta Services,Industrials,2009-07-01
QCOM,Qualcomm,Information Technology,1999-07-22
DGX,Quest Diagnostics,Health Care,2002-12-12
RL,Ralph Lauren Corporation,Consumer Discretionary,2007-02-02
RTX,RTX Corporation,Industrials,1957-03-04
RF,Regions Financial Corporation,Financials,1998-08-28
RSG,Republic Services,Industrials,2008-12-05
RVTY,Revvity,Health Care,1985-05-31
ROK,Rockwell Automation,Industrials,2000-03-12
ROP,Roper Technologies,Information Technology,2009-12-23
ROST,Ross Stores,Consumer Discretionary,2009-12-21
SPGI,S&P Global,Financials,1957-03-04
CRM,Salesforce,Information Technology,2008-09-15
SLB,Schlumberger,Energy,1957-03-04
SHW,Sherwin-Williams,Materials,1964-06-30
SPG,Simon Property Group,Real Estate,2002-06-26
SJM,J.M. Smucker Company (The),Consumer Staples,2008-11-06
SNA,Snap-on,Industrials,1982-09-30
SO,Southern Company,Utilities,1957-03-04
LUV,Southwest Airlines,Industrials,1994-07-01
SWK,Stanley Black & Decker,Industrials,1982-09-30
SBUX,Starbucks,Consumer Discretionary,2000-06-07
STT,State Street Corporation,Financials,2003-03-14
SYK,Stryker Corporation,Health Care,2000-12-12
SYY,Sysco,Consumer Staples,1986-12-31
TPR,"Tapestry, Inc.",Consumer Discretionary,2004-09-01
TGT,Target Corporation,Consumer Staples,1976-12-31
TEL,TE Connectivity,Information Technology,2011-10-17
TXN,Texas Instruments,Information Technology,2001-03-12
TXT,Textron,Industrials,1978-12-31
TMO,Thermo Fisher Scientific,Health Care,2004-08-03
TJX,TJX Companies,Consumer Discretionary,1985-09-30
TT,Trane Technologies,Industrials,2010-11-17
TRV,Travelers Companies (The),Financials,2002-08-21
TFC,Truist Financial,Financials,1997-12-04
TSN,Tyson Foods,Consumer Staples,2005-08-10
USB,U.S. Bancorp,Financials,1999-11-01
UNP,Union Pacific Corporation,Industrials,1957-03-04
UPS,United Parcel Service,Industrials,2002-07-22
UNH,UnitedHealth Group,Health Care,1994-07-01
VLO,Valero Energy,Energy,2002-12-20
VTR,Ventas,Real Estate,2009-03-04
VRSN,Verisign,Information Technology,2006-02-01
VZ,Verizon,Communication Services,1983-11-30
VTRS,Viatris,Health Care,2004-04-23
V,Visa Inc.,Financials,2009-12-21
VMC,Vulcan Materials Company,Materials,1999-06-30
GWW,W. W. Grainger,Industrials,1981-06-30
WBA,Walgreens Boots Alliance,Consumer Staples,1979-12-31
WMT,Walmart,Consumer Staples,1982-08-31
DIS,Walt Disney Company (The),Communication Services,1976-06-30
WM,Waste Management,Industrials,1998-08-31
WAT,Waters Corporation,Health Care,2002-01-02
WEC,WEC Energy Group,Utilities,2008-10-31
WFC,Wells Fargo,Financials,1976-06-30
WELL,Welltower,Real Estate,2009-01-30
WDC,Western Digital,Information Technology,2009-07-01
WY,Weyerhaeuser,Real Estate,1979-10-01
WMB,Williams Companies,Energy,1975-03-31
WYNN,Wynn Resorts,Consumer Discretionary,2008-11-14
XEL,Xcel Energy,Utilities,1957-03-04
XYL,Xylem Inc.,Industrials,2011-11-01
YUM,Yum! Brands,Consumer Discretionary,1997-10-06
ZBH,Zimmer Biomet,Health Care,2001-08-07
